Frequency,dB,Rad,Mag,Fit
4.552187,5.657227993,-0.26196745,1.007941214530282,1.0012232822940401
4.5521895,5.612239361,-0.252120029,1.0027340721369522,1.0012068528279328
4.552192,5.628848076,-0.263448534,1.0046532833929875,1.0011903008534735
4.5521945,5.542723656,-0.264908046,0.9947409276550987,1.0011736253279073
4.552197,5.579737186,-0.263856646,0.9989889016827979,1.0011568251967875
4.5521995,5.627914906,-0.263195733,1.0045453540979543,1.001139899393804
4.552202,5.607788086,-0.260044514,1.002220330678912,1.0011228468406468
4.5522045,5.601531506,-0.265728349,1.0014986758892215,1.0011056664467979
4.552207,5.5545187,-0.260585635,0.9960926582844779,1.0010883571093863
4.5522095,5.589012146,-0.263230537,1.0000562109895619,1.0010709177130088
4.552212,5.615281105,-0.263176409,1.0030852848040446,1.001053347129554
4.5522145,5.618518353,-0.27368451,1.0034592063213723,1.0010356442180217
4.552217,5.655601978,-0.262572137,1.0077525436851948,1.0010178078243412
4.5522195,5.553756237,-0.271087861,0.9960052233187221,1.0009998367811872
4.552222,5.591610909,-0.269244105,1.0003554662201337,1.0009817299077823
4.5522245,5.68209219,-0.25474003,1.0108306772007079,1.0009634860097325
4.552227,5.656744957,-0.247482999,1.0078851628907626,1.0009451038787935
4.5522295,5.603012562,-0.264043517,1.0016694588660622,1.000926582292699
4.552232,5.555513382,-0.272060048,0.9962067343564107,1.0009079200149502
4.5522345,5.595976353,-0.263472852,1.0008583615525235,1.0008891157946134
4.552237,5.575899601,-0.264098029,0.9985476275924958,1.0008701683661088
4.5522395,5.580048084,-0.278273969,0.9990246595870536,1.0008510764490004
4.552242,5.567455769,-0.266316742,0.9975773790870262,1.0008318387477788
4.5522445,5.592079163,-0.26692549,1.0004093965709022,1.000812453951642
4.552247,5.619118214,-0.267089691,1.0035285091623989,1.0007929207342643
4.5522495,5.663707733,-0.267297484,1.0086934269166954,1.0007732377535978
4.552252,5.663565636,-0.263641663,1.0086769253096708,1.0007534036515997
